product,date,demand,inventory,lead_time_days
C,2023-07-11,20,71,2.0
B,2023-07-12,18,115,1.0
A,2023-07-13,32,123,1.0
B,2023-07-14,23,66,1.0
C,2023-07-15,25,49,2.0
B,2023-07-16,14,87,2.0
C,2023-07-17,15,77,2.0
B,2023-07-18,22,18,2.0
C,2023-07-19,21,97,3.0
A,2023-07-20,23,97,2.0
B,2023-07-21,22,30,2.0
A,2023-07-22,27,80,1.0
A,2023-07-23,25,74,1.0
C,2023-07-24,17,-1,2.0
C,2023-07-25,17,67,2.0
A,2023-07-26,22,-2,3.0
C,2023-07-27,22,44,2.0
C,2023-07-28,21,47,1.0
A,2023-07-29,21,150,1.0
B,2023-07-30,12,58,2.0
B,2023-07-31,15,119,2.0
B,2023-08-01,20,131,2.0
B,2023-08-02,21,83,2.0
A,2023-08-03,17,161,3.0
C,2023-08-04,10,112,3.0
C,2023-08-05,11,77,3.0
A,2023-08-06,21,86,1.0
C,2023-08-07,14,13,1.0
C,2023-08-08,23,63,2.0
A,2023-08-09,12,55,3.0
B,2023-08-10,19,40,1.0
B,2023-08-11,14,24,3.0
A,2023-08-12,20,138,2.0
C,2023-08-13,20,198,3.0
C,2023-08-14,26,-3,3.0
A,2023-08-15,18,0,1.0
A,2023-08-16,17,15,3.0
A,2023-08-17,24,163,3.0
C,2023-08-18,9,111,
A,2023-08-19,13,8,2.0
B,2023-08-20,22,54,1.0
C,2023-08-21,22,-5,2.0
C,2023-08-22,13,53,2.0
A,2023-08-23,20,122,2.0
A,2023-08-24,16,152,1.0
B,2023-08-25,19,197,1.0
C,2023-08-26,17,198,2.0
B,2023-08-27,26,163,3.0
A,2023-08-28,28,104,1.0
B,2023-08-29,24,19,3.0
B,2023-08-30,26,-5,2.0
A,2023-08-31,14,110,3.0
B,2023-09-01,25,118,2.0
C,2023-09-02,26,88,3.0
C,2023-09-03,23,149,2.0
A,2023-09-04,16,184,1.0
B,2023-09-05,21,32,1.0
C,2023-09-06,18,45,
A,2023-09-07,20,44,2.0
A,2023-09-08,18,165,1.0
A,2023-09-09,19,37,2.0
A,2023-09-10,17,104,2.0
C,2023-09-11,17,155,3.0
A,2023-09-12,17,112,1.0
A,2023-09-13,17,185,1.0
A,2023-09-14,13,167,1.0
A,2023-09-15,13,159,1.0
C,2023-09-16,24,173,3.0
A,2023-09-17,11,73,2.0
C,2023-09-18,14,109,1.0
B,2023-09-19,25,155,3.0
C,2023-09-20,16,127,2.0
B,2023-09-21,15,106,3.0
C,2023-09-22,18,29,3.0
C,2023-09-23,20,78,1.0
A,2023-09-24,18,75,1.0
B,2023-09-25,23,88,3.0
B,2023-09-26,24,116,3.0
A,2023-09-27,14,22,2.0
B,2023-09-28,18,195,3.0
B,2023-09-29,27,194,2.0
B,2023-09-30,21,76,3.0
C,2023-10-01,8,163,2.0
C,2023-10-02,25,180,2.0
B,2023-10-03,21,37,3.0
C,2023-10-04,18,47,1.0
C,2023-10-05,21,127,2.0
B,2023-10-06,21,2,3.0
B,2023-10-07,15,16,3.0
A,2023-10-08,21,92,1.0
B,2023-10-09,22,14,3.0
A,2023-10-10,17,141,1.0
B,2023-10-11,27,25,3.0
A,2023-10-12,18,117,3.0
C,2023-10-13,19,111,1.0
C,2023-10-14,24,190,2.0
A,2023-10-15,27,60,
C,2023-10-16,17,196,1.0
B,2023-10-17,23,166,3.0
A,2023-10-18,17,183,3.0
C,2023-10-19,25,119,3.0
C,2023-10-20,26,53,3.0
A,2023-10-21,11,170,2.0
B,2023-10-22,16,14,1.0
C,2023-10-23,25,192,2.0
C,2023-10-24,26,40,3.0
B,2023-10-25,20,18,2.0
C,2023-10-26,17,33,1.0
C,2023-10-27,23,61,1.0
A,2023-10-28,20,52,2.0
A,2023-10-29,24,77,3.0
A,2023-10-30,11,168,1.0
B,2023-10-31,21,69,1.0
A,2023-11-01,22,142,2.0
A,2023-11-02,18,44,3.0
A,2023-11-03,31,91,3.0
B,2023-11-04,13,139,3.0
B,2023-11-05,22,30,3.0
A,2023-11-06,23,31,1.0
C,2023-11-07,19,66,2.0
C,2023-11-08,18,139,2.0
B,2023-11-09,20,160,3.0
C,2023-11-10,18,74,
C,2023-11-11,20,194,3.0
A,2023-11-12,17,103,2.0
A,2023-11-13,21,115,
C,2023-11-14,22,129,1.0
B,2023-11-15,19,151,2.0
A,2023-11-16,12,127,3.0
B,2023-11-17,16,60,3.0
B,2023-11-18,24,44,2.0
B,2023-11-19,18,169,2.0
B,2023-11-20,28,90,1.0
A,2023-11-21,23,63,1.0
B,2023-11-22,20,64,3.0
B,2023-11-23,21,123,1.0
C,2023-11-24,18,195,3.0
C,2023-11-25,23,139,1.0
C,2023-11-26,24,123,3.0
A,2023-11-27,22,163,2.0
A,2023-11-28,13,62,3.0
C,2023-11-29,24,153,1.0
A,2023-11-30,22,46,3.0
B,2023-12-01,16,89,2.0
C,2023-12-02,18,-3,
B,2023-12-03,22,149,1.0
C,2023-12-04,21,11,2.0
A,2023-12-05,12,35,3.0
B,2023-12-06,21,161,3.0
B,2023-12-07,24,47,3.0
B,2023-12-08,21,44,3.0
B,2023-12-09,14,20,
C,2023-12-10,19,126,3.0
C,2023-12-11,18,122,2.0
A,2023-12-12,18,189,3.0
A,2023-12-13,21,82,
A,2023-12-14,19,19,1.0
A,2023-12-15,16,90,3.0
C,2023-12-16,10,186,2.0
A,2023-12-17,12,63,3.0
C,2023-12-18,14,33,1.0
A,2023-12-19,16,152,1.0
C,2023-12-20,16,176,3.0
B,2023-12-21,22,18,3.0
C,2023-12-22,18,144,3.0
B,2023-12-23,29,182,1.0
C,2023-12-24,18,163,2.0
C,2023-12-25,16,152,1.0
C,2023-12-26,18,67,1.0
B,2023-12-27,24,99,1.0
C,2023-12-28,21,54,3.0
C,2023-12-29,21,197,2.0
A,2023-12-30,16,116,3.0
B,2023-12-31,20,97,3.0
A,2024-01-01,19,121,1.0
A,2024-01-02,23,181,3.0
C,2024-01-03,20,171,1.0
A,2024-01-04,17,29,2.0
C,2024-01-05,26,19,2.0
C,2024-01-06,18,135,2.0
A,2024-01-07,27,78,1.0
C,2024-01-08,14,66,3.0
B,2024-01-09,19,41,
C,2024-01-10,21,162,3.0
C,2024-01-11,27,68,2.0
B,2024-01-12,27,117,1.0
B,2024-01-13,12,49,2.0
C,2024-01-14,26,122,1.0
B,2024-01-15,19,19,1.0
C,2024-01-16,33,109,2.0
A,2024-01-17,22,57,2.0
C,2024-01-18,22,81,1.0
B,2024-01-19,21,198,2.0
C,2024-01-20,18,160,2.0
B,2024-01-21,23,136,2.0
A,2024-01-22,28,120,1.0
A,2024-01-23,17,115,3.0
B,2024-01-24,23,57,3.0
C,2024-01-25,33,159,3.0
A,2024-01-26,24,65,3.0
B,2024-01-27,26,127,3.0
B,2024-01-28,21,132,3.0
A,2024-01-29,19,90,2.0
B,2024-01-30,22,80,1.0
C,2024-01-31,17,100,2.0
C,2024-02-01,22,-2,3.0
C,2024-02-02,14,4,3.0
B,2024-02-03,15,26,1.0
B,2024-02-04,18,147,1.0
C,2024-02-05,17,112,2.0
A,2024-02-06,15,68,
C,2024-02-07,25,10,1.0
A,2024-02-08,20,165,1.0
B,2024-02-09,19,19,1.0
C,2024-02-10,21,79,3.0
B,2024-02-11,21,157,
A,2024-02-12,25,134,1.0
B,2024-02-13,17,110,1.0
B,2024-02-14,24,84,3.0
C,2024-02-15,24,62,2.0
B,2024-02-16,17,26,1.0
C,2024-02-17,27,2,3.0
C,2024-02-18,19,101,1.0
A,2024-02-19,23,96,2.0
A,2024-02-20,23,192,1.0
B,2024-02-21,21,82,3.0
B,2024-02-22,13,45,2.0
B,2024-02-23,22,86,
C,2024-02-24,22,34,3.0
A,2024-02-25,19,30,1.0
A,2024-02-26,16,167,2.0
C,2024-02-27,15,122,3.0
B,2024-02-28,25,72,1.0
C,2024-02-29,14,8,3.0
A,2024-03-01,20,99,
C,2024-03-02,18,66,1.0
C,2024-03-03,27,110,1.0
A,2024-03-04,16,119,3.0
A,2024-03-05,24,114,1.0
A,2024-03-06,16,14,3.0
B,2024-03-07,19,160,1.0
C,2024-03-08,27,4,2.0
C,2024-03-09,28,78,1.0
A,2024-03-10,21,25,1.0
B,2024-03-11,19,98,3.0
B,2024-03-12,17,113,3.0
C,2024-03-13,19,11,1.0
A,2024-03-14,21,198,1.0
C,2024-03-15,25,174,3.0
C,2024-03-16,25,42,
C,2024-03-17,14,132,1.0
A,2024-03-18,18,8,3.0
A,2024-03-19,26,63,1.0
B,2024-03-20,23,41,2.0
A,2024-03-21,21,31,
A,2024-03-22,20,197,2.0
A,2024-03-23,23,103,2.0
A,2024-03-24,22,92,3.0
C,2024-03-25,20,30,2.0
C,2024-03-26,20,114,2.0
B,2024-03-27,25,69,3.0
C,2024-03-28,13,47,3.0
B,2024-03-29,20,107,2.0
A,2024-03-30,22,2,3.0
A,2024-03-31,19,95,2.0
A,2024-04-01,19,52,2.0
C,2024-04-02,20,108,1.0
B,2024-04-03,14,29,2.0
A,2024-04-04,15,199,2.0
A,2024-04-05,16,25,3.0
C,2024-04-06,22,39,3.0
A,2024-04-07,14,153,3.0
B,2024-04-08,27,86,1.0
C,2024-04-09,18,141,2.0
B,2024-04-10,16,6,
C,2024-04-11,16,14,2.0
C,2024-04-12,26,160,1.0
A,2024-04-13,21,117,3.0
A,2024-04-14,24,115,
A,2024-04-15,21,177,2.0
B,2024-04-16,18,184,3.0
A,2024-04-17,23,182,2.0
A,2024-04-18,20,129,3.0
C,2024-04-19,20,136,3.0
C,2024-04-20,30,92,2.0
C,2024-04-21,12,59,2.0
B,2024-04-22,22,103,1.0
B,2024-04-23,27,103,2.0
C,2024-04-24,15,87,3.0
B,2024-04-25,19,110,1.0
A,2024-04-26,24,63,
A,2024-04-27,26,81,1.0
C,2024-04-28,20,118,2.0
A,2024-04-29,16,170,2.0
C,2024-04-30,21,80,
B,2024-05-01,21,47,3.0
B,2024-05-02,23,163,2.0
C,2024-05-03,20,5,3.0
C,2024-05-04,23,172,2.0
B,2024-05-05,25,91,
B,2024-05-06,18,64,
C,2024-05-07,15,-2,1.0
B,2024-05-08,24,136,1.0
B,2024-05-09,18,172,1.0
C,2024-05-10,18,83,1.0
C,2024-05-11,17,96,3.0
A,2024-05-12,18,44,2.0
B,2024-05-13,17,39,3.0
C,2024-05-14,17,197,2.0
A,2024-05-15,21,195,1.0
B,2024-05-16,17,43,3.0
B,2024-05-17,18,165,1.0
A,2024-05-18,22,130,3.0
C,2024-05-19,21,171,1.0
C,2024-05-20,16,151,1.0
B,2024-05-21,19,6,2.0
C,2024-05-22,29,137,2.0
A,2024-05-23,19,187,3.0
B,2024-05-24,15,13,
A,2024-05-25,18,64,1.0
B,2024-05-26,25,53,1.0
A,2024-05-27,28,143,3.0
C,2024-05-28,13,135,2.0
C,2024-05-29,19,45,2.0
A,2024-05-30,16,47,3.0
C,2024-05-31,17,88,3.0
C,2024-06-01,17,193,2.0
A,2024-06-02,16,159,1.0
C,2024-06-03,24,85,1.0
C,2024-06-04,15,87,2.0
C,2024-06-05,11,108,3.0
C,2024-06-06,19,51,1.0
A,2024-06-07,12,98,3.0
B,2024-06-08,18,62,1.0
C,2024-06-09,30,83,
C,2024-06-10,22,194,1.0
A,2024-06-11,18,90,2.0
B,2024-06-12,21,41,2.0
B,2024-06-13,36,183,
C,2024-06-14,20,140,2.0
B,2024-06-15,19,-1,3.0
B,2024-06-16,18,22,2.0
B,2024-06-17,11,193,2.0
B,2024-06-18,22,49,3.0
A,2024-06-19,18,18,2.0
C,2024-06-20,27,191,1.0
B,2024-06-21,13,83,1.0
A,2024-06-22,20,118,
A,2024-06-23,15,136,3.0
B,2024-06-24,30,116,2.0
C,2024-06-25,19,159,2.0
A,2024-06-26,18,54,
C,2024-06-27,21,129,1.0
A,2024-06-28,23,54,1.0
A,2024-06-29,17,95,3.0
B,2024-06-30,17,30,2.0
C,2024-07-01,15,177,2.0
A,2024-07-02,18,126,1.0
C,2024-07-03,21,84,
A,2024-07-04,13,22,3.0
C,2024-07-05,25,45,3.0
A,2024-07-06,21,86,1.0
C,2024-07-07,19,155,1.0
A,2024-07-08,19,95,1.0
B,2024-07-09,15,110,2.0
A,2024-07-10,20,54,2.0
C,2024-07-11,25,22,3.0
B,2024-07-12,17,55,3.0
C,2024-07-13,17,62,3.0
B,2024-07-14,17,16,2.0
B,2024-07-15,16,13,2.0
B,2024-07-16,17,-1,2.0
C,2024-07-17,17,105,2.0
B,2024-07-18,15,80,1.0
C,2024-07-19,25,25,3.0
A,2024-07-20,14,149,2.0
B,2024-07-21,25,141,2.0
A,2024-07-22,19,181,2.0
C,2024-07-23,16,108,1.0
A,2024-07-24,17,178,3.0
C,2024-07-25,21,194,3.0
C,2024-07-26,16,83,2.0
A,2024-07-27,14,-3,2.0
A,2024-07-28,23,79,1.0
C,2024-07-29,18,141,3.0
B,2024-07-30,22,63,3.0
B,2024-07-31,20,36,3.0
C,2024-08-01,23,41,3.0
A,2024-08-02,19,2,2.0
A,2024-08-03,23,132,2.0
B,2024-08-04,16,123,
C,2024-08-05,13,138,1.0
A,2024-08-06,21,106,2.0
B,2024-08-07,16,52,3.0
B,2024-08-08,15,56,1.0
A,2024-08-09,22,170,2.0
B,2024-08-10,13,99,1.0
B,2024-08-11,15,120,
B,2024-08-12,27,6,1.0
A,2024-08-13,18,9,1.0
B,2024-08-14,23,82,
C,2024-08-15,23,193,1.0
A,2024-08-16,15,113,1.0
A,2024-08-17,19,196,3.0
C,2024-08-18,21,174,3.0
A,2024-08-19,21,156,2.0
C,2024-08-20,17,168,2.0
B,2024-08-21,14,199,2.0
C,2024-08-22,30,158,3.0
B,2024-08-23,24,68,1.0
C,2024-08-24,18,184,2.0
B,2024-08-25,12,21,2.0
B,2024-08-26,36,80,1.0
B,2024-08-27,28,177,3.0
A,2024-08-28,12,87,2.0
A,2024-08-29,27,17,2.0
C,2024-08-30,18,-4,2.0
B,2024-08-31,17,-1,1.0
B,2024-09-01,20,88,2.0
A,2024-09-02,15,26,2.0
C,2024-09-03,19,99,3.0
C,2024-09-04,13,109,3.0
B,2024-09-05,23,108,3.0
A,2024-09-06,16,199,1.0
C,2024-09-07,20,190,1.0
B,2024-09-08,13,1,1.0
C,2024-09-09,25,11,1.0
A,2024-09-10,17,104,3.0
B,2024-09-11,18,58,2.0
C,2024-09-12,15,-1,2.0
A,2024-09-13,15,82,2.0
A,2024-09-14,18,80,2.0
B,2024-09-15,16,164,
C,2024-09-16,17,1,2.0
C,2024-09-17,11,128,1.0
C,2024-09-18,20,165,1.0
B,2024-09-19,22,159,2.0
B,2024-09-20,15,24,1.0
B,2024-09-21,15,15,3.0
C,2024-09-22,15,34,2.0
A,2024-09-23,16,62,3.0
A,2024-09-24,23,14,3.0
C,2024-09-25,18,-2,
A,2024-09-26,26,123,3.0
A,2024-09-27,13,184,3.0
C,2024-09-28,15,146,2.0
A,2024-09-29,22,142,2.0
C,2024-09-30,19,38,3.0
C,2024-10-01,26,68,3.0
A,2024-10-02,21,134,2.0
B,2024-10-03,14,98,3.0
A,2024-10-04,22,107,2.0
B,2024-10-05,24,-4,3.0
B,2024-10-06,26,24,1.0
C,2024-10-07,19,155,3.0
C,2024-10-08,16,145,1.0
A,2024-10-09,25,183,3.0
A,2024-10-10,28,81,3.0
C,2024-10-11,18,47,1.0
A,2024-10-12,15,51,1.0
A,2024-10-13,16,138,1.0
B,2024-10-14,13,124,2.0
A,2024-10-15,15,100,2.0
C,2024-10-16,26,90,
C,2024-10-17,13,131,
A,2024-10-18,19,6,3.0
B,2024-10-19,20,112,3.0
B,2024-10-20,21,116,3.0
A,2024-10-21,21,102,3.0
B,2024-10-22,19,-2,1.0
C,2024-10-23,27,116,1.0
B,2024-10-24,21,-5,2.0
A,2024-10-25,22,16,3.0
A,2024-10-26,13,151,3.0
B,2024-10-27,22,13,3.0
B,2024-10-28,25,68,3.0
A,2024-10-29,22,59,1.0
B,2024-10-30,23,2,3.0
A,2024-10-31,7,13,2.0
B,2024-11-01,17,134,1.0
C,2024-11-02,23,72,
A,2024-11-03,22,117,1.0
C,2024-11-04,10,11,2.0
A,2024-11-05,29,134,3.0
B,2024-11-06,19,29,2.0
C,2024-11-07,24,80,1.0
A,2024-11-08,15,139,3.0
C,2024-11-09,21,63,2.0
B,2024-11-10,27,-1,1.0
B,2024-11-11,13,118,1.0
A,2024-11-12,17,115,
A,2024-11-13,22,27,3.0
C,2024-11-14,17,66,
B,2024-11-15,18,45,
C,2024-11-16,23,149,1.0
C,2024-11-17,19,100,1.0
B,2024-11-18,21,159,
C,2024-11-19,22,34,3.0
B,2024-11-20,15,18,1.0
A,2024-11-21,21,71,2.0
A,2024-11-22,19,76,2.0
B,2024-11-23,21,60,3.0
A,2024-11-24,13,67,1.0
A,2024-11-25,15,38,1.0
B,2024-11-26,19,125,1.0
B,2024-11-27,18,138,3.0
B,2024-11-28,19,61,2.0
B,2024-11-29,24,-3,3.0
C,2024-11-30,16,127,3.0
C,2024-12-01,25,101,1.0
C,2024-12-02,14,165,2.0
A,2024-12-03,19,67,1.0
A,2024-12-04,18,63,1.0
B,2024-12-05,14,99,3.0
B,2024-12-06,22,115,2.0
C,2024-12-07,18,103,3.0
C,2024-12-08,19,162,1.0
C,2024-12-09,16,5,3.0
A,2024-12-10,18,196,3.0
A,2024-12-11,18,126,3.0
A,2024-12-12,25,173,3.0
A,2024-12-13,17,59,2.0
C,2024-12-14,16,194,1.0
B,2024-12-15,26,185,2.0
C,2024-12-16,22,197,1.0
A,2024-12-17,21,39,2.0
B,2024-12-18,21,8,2.0
A,2024-12-19,17,80,1.0
A,2024-12-20,23,117,1.0
C,2024-12-21,30,54,3.0
C,2024-12-22,21,-3,1.0
A,2024-12-23,20,71,2.0
B,2024-12-24,20,14,2.0
C,2024-12-25,14,23,1.0
B,2024-12-26,22,25,1.0
C,2024-12-27,19,119,3.0
A,2024-12-28,25,196,3.0
A,2024-12-29,19,20,1.0
A,2024-12-30,19,131,3.0
B,2024-12-31,20,105,1.0
A,2025-01-01,16,126,3.0
A,2025-01-02,21,177,1.0
B,2025-01-03,16,5,2.0
B,2025-01-04,25,129,
A,2025-01-05,14,84,
B,2025-01-06,15,185,1.0
C,2025-01-07,20,158,2.0
C,2025-01-08,12,101,2.0
A,2025-01-09,18,87,1.0
C,2025-01-10,12,183,3.0
B,2025-01-11,14,1,2.0
B,2025-01-12,12,142,3.0
B,2025-01-13,17,69,1.0
C,2025-01-14,27,84,1.0
A,2025-01-15,18,1,3.0
B,2025-01-16,26,133,
C,2025-01-17,28,49,2.0
B,2025-01-18,18,103,
B,2025-01-19,17,171,1.0
A,2025-01-20,17,-4,1.0
C,2025-01-21,28,139,3.0
A,2025-01-22,26,110,1.0
A,2025-01-23,23,49,
A,2025-01-24,18,134,1.0
B,2025-01-25,12,107,2.0
B,2025-01-26,19,117,3.0
B,2025-01-27,19,77,3.0
C,2025-01-28,27,183,
B,2025-01-29,21,138,1.0
C,2025-01-30,19,179,3.0
A,2025-01-31,21,86,1.0
A,2025-02-01,20,167,1.0
A,2025-02-02,20,173,3.0
B,2025-02-03,12,-3,3.0
C,2025-02-04,10,185,3.0
A,2025-02-05,18,45,3.0
A,2025-02-06,19,170,1.0
B,2025-02-07,14,186,3.0
C,2025-02-08,17,21,3.0
A,2025-02-09,22,94,1.0
C,2025-02-10,22,52,2.0
C,2025-02-11,25,67,2.0
B,2025-02-12,20,180,1.0
A,2025-02-13,22,-5,3.0
B,2025-02-14,17,187,3.0
C,2025-02-15,17,87,1.0
C,2025-02-16,25,190,2.0
A,2025-02-17,20,81,3.0
C,2025-02-18,16,-3,
B,2025-02-19,18,27,1.0
C,2025-02-20,26,65,
C,2025-02-21,26,20,2.0
C,2025-02-22,24,84,1.0
C,2025-02-23,24,139,1.0
C,2025-02-24,30,77,1.0
B,2025-02-25,24,111,2.0
C,2025-02-26,16,0,
B,2025-02-27,28,180,3.0
C,2025-02-28,26,45,
A,2025-03-01,27,166,
A,2025-03-02,22,188,3.0
B,2025-03-03,18,27,3.0
C,2025-03-04,24,181,3.0
C,2025-03-05,12,36,3.0
A,2025-03-06,14,21,
C,2025-03-07,17,196,3.0
B,2025-03-08,18,5,1.0
C,2025-03-09,19,192,2.0
B,2025-03-10,20,140,3.0
C,2025-03-11,23,194,1.0
A,2025-03-12,29,31,1.0
B,2025-03-13,22,138,3.0
C,2025-03-14,11,56,1.0
C,2025-03-15,13,58,1.0
A,2025-03-16,23,199,2.0
A,2025-03-17,24,19,2.0
A,2025-03-18,11,176,3.0
C,2025-03-19,28,178,3.0
A,2025-03-20,19,26,1.0
B,2025-03-21,11,171,2.0
C,2025-03-22,20,71,3.0
C,2025-03-23,18,88,
A,2025-03-24,19,78,3.0
B,2025-03-25,16,152,3.0
C,2025-03-26,30,7,2.0
B,2025-03-27,18,117,2.0
A,2025-03-28,13,95,1.0
C,2025-03-29,8,83,3.0
B,2025-03-30,20,34,2.0
C,2025-03-31,18,154,3.0
C,2025-04-01,26,162,
B,2025-04-02,18,107,3.0
C,2025-04-03,19,176,1.0
C,2025-04-04,14,165,1.0
C,2025-04-05,19,122,2.0
B,2025-04-06,22,30,3.0
B,2025-04-07,18,40,1.0
C,2025-04-08,20,130,3.0
C,2025-04-09,24,101,2.0
B,2025-04-10,21,76,3.0
